continent,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($) ,gdp_per_capita ($),generation
South America,Argentina,2009,male,25-34 years,504,3210244,15.7,Argentina2009,,"332,976,484,578",8961,Generation X
South America,Argentina,2009,male,35-54 years,542,4566645,11.87,Argentina2009,,"332,976,484,578",8961,Boomers
South America,Argentina,2009,female,15-24 years,164,3342385,4.91,Argentina2009,,"332,976,484,578",8961,Millenials
South America,Argentina,2009,female,55-74 years,112,3148915,3.56,Argentina2009,,"332,976,484,578",8961,Silent
South America,Argentina,2009,female,25-34 years,105,3189773,3.29,Argentina2009,,"332,976,484,578",8961,Generation X
South America,Argentina,2009,female,35-54 years,150,4726814,3.17,Argentina2009,,"332,976,484,578",8961,Boomers
South America,Argentina,2009,female,75+ years,25,1211934,2.06,Argentina2009,,"332,976,484,578",8961,Silent
South America,Argentina,2009,male,5-14 years,34,3553154,0.96,Argentina2009,,"332,976,484,578",8961,Generation Z
South America,Argentina,2009,female,5-14 years,28,3434884,0.82,Argentina2009,,"332,976,484,578",8961,Generation Z
Europe,Armenia,2009,male,75+ years,8,50759,15.76,Armenia2009,,"8,647,936,748",3215,Silent
Europe,Armenia,2009,male,55-74 years,11,189632,5.8,Armenia2009,,"8,647,936,748",3215,Silent
Europe,Armenia,2009,male,35-54 years,17,351694,4.83,Armenia2009,,"8,647,936,748",3215,Boomers
Europe,Armenia,2009,male,15-24 years,5,259772,1.92,Armenia2009,,"8,647,936,748",3215,Millenials
Europe,Armenia,2009,female,75+ years,1,79728,1.25,Armenia2009,,"8,647,936,748",3215,Silent
Europe,Armenia,2009,female,55-74 years,3,248767,1.21,Armenia2009,,"8,647,936,748",3215,Silent
Europe,Armenia,2009,male,25-34 years,2,198646,1.01,Armenia2009,,"8,647,936,748",3215,Generation X
Europe,Armenia,2009,female,25-34 years,2,230582,0.87,Armenia2009,,"8,647,936,748",3215,Generation X
Europe,Armenia,2009,female,35-54 years,3,433390,0.69,Armenia2009,,"8,647,936,748",3215,Boomers
Europe,Armenia,2009,female,15-24 years,1,278535,0.36,Armenia2009,,"8,647,936,748",3215,Millenials
Europe,Armenia,2009,female,5-14 years,0,172560,0.0,Armenia2009,,"8,647,936,748",3215,Generation Z
Europe,Armenia,2009,male,5-14 years,0,195630,0.0,Armenia2009,,"8,647,936,748",3215,Generation Z
South America,Aruba,2009,male,25-34 years,1,5729,17.46,Aruba2009,,"2,498,932,961",26361,Generation X
South America,Aruba,2009,male,35-54 years,2,15734,12.71,Aruba2009,,"2,498,932,961",26361,Boomers
South America,Aruba,2009,male,55-74 years,1,8291,12.06,Aruba2009,,"2,498,932,961",26361,Silent
South America,Aruba,2009,female,15-24 years,0,6152,0.0,Aruba2009,,"2,498,932,961",26361,Millenials
South America,Aruba,2009,female,25-34 years,0,6646,0.0,Aruba2009,,"2,498,932,961",26361,Generation X
South America,Aruba,2009,female,35-54 years,0,18003,0.0,Aruba2009,,"2,498,932,961",26361,Boomers
South America,Aruba,2009,female,5-14 years,0,7178,0.0,Aruba2009,,"2,498,932,961",26361,Generation Z
South America,Aruba,2009,female,55-74 years,0,9744,0.0,Aruba2009,,"2,498,932,961",26361,Silent
South America,Aruba,2009,female,75+ years,0,2131,0.0,Aruba2009,,"2,498,932,961",26361,Silent
South America,Aruba,2009,male,15-24 years,0,6380,0.0,Aruba2009,,"2,498,932,961",26361,Millenials
South America,Aruba,2009,male,5-14 years,0,7420,0.0,Aruba2009,,"2,498,932,961",26361,Generation Z
South America,Aruba,2009,male,75+ years,0,1387,0.0,Aruba2009,,"2,498,932,961",26361,Silent
Oceania,Australia,2009,male,35-54 years,755,3051649,24.74,Australia2009,,"926,448,240,318",45128,Boomers
Oceania,Australia,2009,male,75+ years,135,566784,23.82,Australia2009,,"926,448,240,318",45128,Silent
Oceania,Australia,2009,male,25-34 years,336,1567118,21.44,Australia2009,,"926,448,240,318",45128,Generation X
Oceania,Australia,2009,male,55-74 years,349,1991883,17.52,Australia2009,,"926,448,240,318",45128,Silent
Oceania,Australia,2009,male,15-24 years,210,1605456,13.08,Australia2009,,"926,448,240,318",45128,Millenials
Oceania,Australia,2009,female,35-54 years,221,3104929,7.12,Australia2009,,"926,448,240,318",45128,Boomers
Oceania,Australia,2009,female,25-34 years,103,1541393,6.68,Australia2009,,"926,448,240,318",45128,Generation X
Oceania,Australia,2009,female,55-74 years,116,2037989,5.69,Australia2009,,"926,448,240,318",45128,Silent
Oceania,Australia,2009,female,75+ years,43,792218,5.43,Australia2009,,"926,448,240,318",45128,Silent
Oceania,Australia,2009,female,15-24 years,66,1506719,4.38,Australia2009,,"926,448,240,318",45128,Millenials
Oceania,Australia,2009,female,5-14 years,3,1345910,0.22,Australia2009,,"926,448,240,318",45128,Generation Z
Oceania,Australia,2009,male,5-14 years,0,1417269,0.0,Australia2009,,"926,448,240,318",45128,Generation Z
Europe,Austria,2009,male,75+ years,187,235822,79.3,Austria2009,,"400,172,297,861",50356,Silent
Europe,Austria,2009,male,55-74 years,279,823727,33.87,Austria2009,,"400,172,297,861",50356,Silent
Europe,Austria,2009,male,35-54 years,332,1297322,25.59,Austria2009,,"400,172,297,861",50356,Boomers
Europe,Austria,2009,male,25-34 years,99,542799,18.24,Austria2009,,"400,172,297,861",50356,Generation X
Europe,Austria,2009,female,75+ years,68,430726,15.79,Austria2009,,"400,172,297,861",50356,Silent
Europe,Austria,2009,male,15-24 years,72,519901,13.85,Austria2009,,"400,172,297,861",50356,Millenials
Europe,Austria,2009,female,55-74 years,103,908213,11.34,Austria2009,,"400,172,297,861",50356,Silent
Europe,Austria,2009,female,35-54 years,101,1289816,7.83,Austria2009,,"400,172,297,861",50356,Boomers
Europe,Austria,2009,female,25-34 years,18,539304,3.34,Austria2009,,"400,172,297,861",50356,Generation X
Europe,Austria,2009,female,15-24 years,11,501225,2.19,Austria2009,,"400,172,297,861",50356,Millenials
Europe,Austria,2009,female,5-14 years,5,418410,1.2,Austria2009,,"400,172,297,861",50356,Generation Z
Europe,Austria,2009,male,5-14 years,3,439629,0.68,Austria2009,,"400,172,297,861",50356,Generation Z
North America,Bahamas,2009,male,15-24 years,2,31432,6.36,Bahamas2009,,"9,981,960,000",30450,Millenials
North America,Bahamas,2009,male,35-54 years,2,48784,4.1,Bahamas2009,,"9,981,960,000",30450,Boomers
North America,Bahamas,2009,male,25-34 years,1,27862,3.59,Bahamas2009,,"9,981,960,000",30450,Generation X
North America,Bahamas,2009,female,35-54 years,1,51877,1.93,Bahamas2009,,"9,981,960,000",30450,Boomers
North America,Bahamas,2009,female,15-24 years,0,31298,0.0,Bahamas2009,,"9,981,960,000",30450,Millenials
North America,Bahamas,2009,female,25-34 years,0,28059,0.0,Bahamas2009,,"9,981,960,000",30450,Generation X
North America,Bahamas,2009,female,5-14 years,0,27474,0.0,Bahamas2009,,"9,981,960,000",30450,Generation Z
North America,Bahamas,2009,female,55-74 years,0,23987,0.0,Bahamas2009,,"9,981,960,000",30450,Silent
North America,Bahamas,2009,female,75+ years,0,5515,0.0,Bahamas2009,,"9,981,960,000",30450,Silent
North America,Bahamas,2009,male,5-14 years,0,28311,0.0,Bahamas2009,,"9,981,960,000",30450,Generation Z
North America,Bahamas,2009,male,55-74 years,0,20196,0.0,Bahamas2009,,"9,981,960,000",30450,Silent
North America,Bahamas,2009,male,75+ years,0,3018,0.0,Bahamas2009,,"9,981,960,000",30450,Silent
Asia,Bahrain,2009,male,35-54 years,14,242558,5.77,Bahrain2009,,"22,938,218,085",20988,Boomers
Asia,Bahrain,2009,male,25-34 years,9,222448,4.05,Bahrain2009,,"22,938,218,085",20988,Generation X
Asia,Bahrain,2009,female,25-34 years,4,99580,4.02,Bahrain2009,,"22,938,218,085",20988,Generation X
Asia,Bahrain,2009,male,15-24 years,4,102256,3.91,Bahrain2009,,"22,938,218,085",20988,Millenials
Asia,Bahrain,2009,male,55-74 years,1,38002,2.63,Bahrain2009,,"22,938,218,085",20988,Silent
Asia,Bahrain,2009,male,5-14 years,2,79180,2.53,Bahrain2009,,"22,938,218,085",20988,Generation Z
Asia,Bahrain,2009,female,35-54 years,2,118835,1.68,Bahrain2009,,"22,938,218,085",20988,Boomers
Asia,Bahrain,2009,female,15-24 years,0,80832,0.0,Bahrain2009,,"22,938,218,085",20988,Millenials
Asia,Bahrain,2009,female,5-14 years,0,75122,0.0,Bahrain2009,,"22,938,218,085",20988,Generation Z
Asia,Bahrain,2009,female,55-74 years,0,25915,0.0,Bahrain2009,,"22,938,218,085",20988,Silent
Asia,Bahrain,2009,female,75+ years,0,4103,0.0,Bahrain2009,,"22,938,218,085",20988,Silent
Asia,Bahrain,2009,male,75+ years,0,4091,0.0,Bahrain2009,,"22,938,218,085",20988,Silent
North America,Barbados,2009,male,75+ years,1,6022,16.61,Barbados2009,,"4,434,050,000",17007,Silent
North America,Barbados,2009,male,35-54 years,3,39442,7.61,Barbados2009,,"4,434,050,000",17007,Boomers
North America,Barbados,2009,male,55-74 years,1,21837,4.58,Barbados2009,,"4,434,050,000",17007,Silent
North America,Barbados,2009,female,15-24 years,0,18898,0.0,Barbados2009,,"4,434,050,000",17007,Millenials
North America,Barbados,2009,female,25-34 years,0,19762,0.0,Barbados2009,,"4,434,050,000",17007,Generation X
North America,Barbados,2009,female,35-54 years,0,43400,0.0,Barbados2009,,"4,434,050,000",17007,Boomers
North America,Barbados,2009,female,5-14 years,0,18606,0.0,Barbados2009,,"4,434,050,000",17007,Generation Z
North America,Barbados,2009,female,55-74 years,0,25695,0.0,Barbados2009,,"4,434,050,000",17007,Silent
North America,Barbados,2009,female,75+ years,0,9752,0.0,Barbados2009,,"4,434,050,000",17007,Silent
North America,Barbados,2009,male,15-24 years,0,18881,0.0,Barbados2009,,"4,434,050,000",17007,Millenials
North America,Barbados,2009,male,25-34 years,0,19044,0.0,Barbados2009,,"4,434,050,000",17007,Generation X
North America,Barbados,2009,male,5-14 years,0,19379,0.0,Barbados2009,,"4,434,050,000",17007,Generation Z
Europe,Belarus,2009,male,75+ years,145,159050,91.17,Belarus2009,,"49,209,523,810",5366,Silent
Europe,Belarus,2009,male,35-54 years,903,1390214,64.95,Belarus2009,,"49,209,523,810",5366,Boomers
Europe,Belarus,2009,male,55-74 years,466,726459,64.15,Belarus2009,,"49,209,523,810",5366,Silent
Europe,Belarus,2009,male,25-34 years,445,754796,58.96,Belarus2009,,"49,209,523,810",5366,Generation X
Europe,Belarus,2009,male,15-24 years,270,749519,36.02,Belarus2009,,"49,209,523,810",5366,Millenials
Europe,Belarus,2009,female,75+ years,74,434130,17.05,Belarus2009,,"49,209,523,810",5366,Silent
Europe,Belarus,2009,female,55-74 years,144,1073032,13.42,Belarus2009,,"49,209,523,810",5366,Silent
Europe,Belarus,2009,female,35-54 years,165,1507662,10.94,Belarus2009,,"49,209,523,810",5366,Boomers
Europe,Belarus,2009,female,25-34 years,74,737605,10.03,Belarus2009,,"49,209,523,810",5366,Generation X
Europe,Belarus,2009,female,15-24 years,45,716695,6.28,Belarus2009,,"49,209,523,810",5366,Millenials
Europe,Belarus,2009,male,5-14 years,9,473483,1.9,Belarus2009,,"49,209,523,810",5366,Generation Z
Europe,Belarus,2009,female,5-14 years,3,447324,0.67,Belarus2009,,"49,209,523,810",5366,Generation Z
Europe,Belgium,2009,male,75+ years,173,349801,49.46,Belgium2009,,"484,552,792,442",47630,Silent
Europe,Belgium,2009,male,35-54 years,645,1576175,40.92,Belgium2009,,"484,552,792,442",47630,Boomers
Europe,Belgium,2009,male,55-74 years,366,1075825,34.02,Belgium2009,,"484,552,792,442",47630,Silent
Europe,Belgium,2009,male,25-34 years,181,694716,26.05,Belgium2009,,"484,552,792,442",47630,Generation X
Europe,Belgium,2009,female,55-74 years,177,1148108,15.42,Belgium2009,,"484,552,792,442",47630,Silent
Europe,Belgium,2009,female,35-54 years,229,1547499,14.8,Belgium2009,,"484,552,792,442",47630,Boomers
Europe,Belgium,2009,male,15-24 years,90,661817,13.6,Belgium2009,,"484,552,792,442",47630,Millenials
Europe,Belgium,2009,female,75+ years,58,582517,9.96,Belgium2009,,"484,552,792,442",47630,Silent
Europe,Belgium,2009,female,25-34 years,52,690235,7.53,Belgium2009,,"484,552,792,442",47630,Generation X
Europe,Belgium,2009,female,15-24 years,34,646252,5.26,Belgium2009,,"484,552,792,442",47630,Millenials
Europe,Belgium,2009,female,5-14 years,4,587237,0.68,Belgium2009,,"484,552,792,442",47630,Generation Z
Europe,Belgium,2009,male,5-14 years,4,613184,0.65,Belgium2009,,"484,552,792,442",47630,Generation Z
North America,Belize,2009,male,15-24 years,5,31526,15.86,Belize2009,,"1,336,957,250",4841,Millenials
North America,Belize,2009,male,25-34 years,3,23713,12.65,Belize2009,,"1,336,957,250",4841,Generation X
North America,Belize,2009,male,55-74 years,1,10523,9.5,Belize2009,,"1,336,957,250",4841,Silent
North America,Belize,2009,female,15-24 years,3,31873,9.41,Belize2009,,"1,336,957,250",4841,Millenials
North America,Belize,2009,male,35-54 years,2,31734,6.3,Belize2009,,"1,336,957,250",4841,Boomers
North America,Belize,2009,female,25-34 years,1,24742,4.04,Belize2009,,"1,336,957,250",4841,Generation X
North America,Belize,2009,female,35-54 years,0,31606,0.0,Belize2009,,"1,336,957,250",4841,Boomers
North America,Belize,2009,female,5-14 years,0,37982,0.0,Belize2009,,"1,336,957,250",4841,Generation Z
North America,Belize,2009,female,55-74 years,0,9786,0.0,Belize2009,,"1,336,957,250",4841,Silent
North America,Belize,2009,female,75+ years,0,2251,0.0,Belize2009,,"1,336,957,250",4841,Silent
North America,Belize,2009,male,5-14 years,0,38375,0.0,Belize2009,,"1,336,957,250",4841,Generation Z
North America,Belize,2009,male,75+ years,0,2078,0.0,Belize2009,,"1,336,957,250",4841,Silent
South America,Brazil,2009,male,75+ years,295,1803127,16.36,Brazil2009,,"1,667,019,780,934",9283,Silent
South America,Brazil,2009,male,55-74 years,1271,10398573,12.22,Brazil2009,,"1,667,019,780,934",9283,Silent
South America,Brazil,2009,male,35-54 years,2737,24035191,11.39,Brazil2009,,"1,667,019,780,934",9283,Boomers
South America,Brazil,2009,male,25-34 years,1838,16753314,10.97,Brazil2009,,"1,667,019,780,934",9283,Generation X
South America,Brazil,2009,male,15-24 years,1270,17794434,7.14,Brazil2009,,"1,667,019,780,934",9283,Millenials
South America,Brazil,2009,female,35-54 years,768,25523153,3.01,Brazil2009,,"1,667,019,780,934",9283,Boomers
South America,Brazil,2009,female,55-74 years,301,12124076,2.48,Brazil2009,,"1,667,019,780,934",9283,Silent
South America,Brazil,2009,female,25-34 years,351,16810330,2.09,Brazil2009,,"1,667,019,780,934",9283,Generation X
South America,Brazil,2009,female,75+ years,58,2811556,2.06,Brazil2009,,"1,667,019,780,934",9283,Silent
South America,Brazil,2009,female,15-24 years,343,17321655,1.98,Brazil2009,,"1,667,019,780,934",9283,Millenials
South America,Brazil,2009,male,5-14 years,62,17421892,0.36,Brazil2009,,"1,667,019,780,934",9283,Generation Z
South America,Brazil,2009,female,5-14 years,52,16772250,0.31,Brazil2009,,"1,667,019,780,934",9283,Generation Z
Europe,Bulgaria,2009,male,75+ years,120,222390,53.96,Bulgaria2009,,"51,884,481,410",7186,Silent
Europe,Bulgaria,2009,male,55-74 years,241,799938,30.13,Bulgaria2009,,"51,884,481,410",7186,Silent
Europe,Bulgaria,2009,male,35-54 years,211,1058524,19.93,Bulgaria2009,,"51,884,481,410",7186,Boomers
Europe,Bulgaria,2009,female,75+ years,63,360613,17.47,Bulgaria2009,,"51,884,481,410",7186,Silent
Europe,Bulgaria,2009,male,25-34 years,60,575940,10.42,Bulgaria2009,,"51,884,481,410",7186,Generation X
Europe,Bulgaria,2009,female,55-74 years,72,979605,7.35,Bulgaria2009,,"51,884,481,410",7186,Silent
Europe,Bulgaria,2009,male,15-24 years,29,487528,5.95,Bulgaria2009,,"51,884,481,410",7186,Millenials
Europe,Bulgaria,2009,female,35-54 years,49,1064955,4.6,Bulgaria2009,,"51,884,481,410",7186,Boomers
Europe,Bulgaria,2009,female,25-34 years,13,548235,2.37,Bulgaria2009,,"51,884,481,410",7186,Generation X
Europe,Bulgaria,2009,female,15-24 years,9,463505,1.94,Bulgaria2009,,"51,884,481,410",7186,Millenials
Europe,Bulgaria,2009,male,5-14 years,1,338266,0.3,Bulgaria2009,,"51,884,481,410",7186,Generation Z
Europe,Bulgaria,2009,female,5-14 years,0,320318,0.0,Bulgaria2009,,"51,884,481,410",7186,Generation Z
North America,Canada,2009,male,35-54 years,1328,5085328,26.11,Canada2009,,"1,371,153,004,986",42933,Boomers
North America,Canada,2009,male,55-74 years,680,3216246,21.14,Canada2009,,"1,371,153,004,986",42933,Silent
North America,Canada,2009,male,75+ years,182,893202,20.38,Canada2009,,"1,371,153,004,986",42933,Silent
North America,Canada,2009,male,25-34 years,437,2325144,18.79,Canada2009,,"1,371,153,004,986",42933,Generation X
North America,Canada,2009,male,15-24 years,349,2355316,14.82,Canada2009,,"1,371,153,004,986",42933,Millenials
North America,Canada,2009,female,35-54 years,402,5043261,7.97,Canada2009,,"1,371,153,004,986",42933,Boomers
North America,Canada,2009,female,15-24 years,130,2238546,5.81,Canada2009,,"1,371,153,004,986",42933,Millenials
North America,Canada,2009,female,55-74 years,192,3389717,5.66,Canada2009,,"1,371,153,004,986",42933,Silent
North America,Canada,2009,female,25-34 years,119,2293665,5.19,Canada2009,,"1,371,153,004,986",42933,Generation X
North America,Canada,2009,female,75+ years,46,1322098,3.48,Canada2009,,"1,371,153,004,986",42933,Silent
North America,Canada,2009,male,5-14 years,13,1937420,0.67,Canada2009,,"1,371,153,004,986",42933,Generation Z
North America,Canada,2009,female,5-14 years,12,1837414,0.65,Canada2009,,"1,371,153,004,986",42933,Generation Z
South America,Chile,2009,male,75+ years,88,234780,37.48,Chile2009,,"172,389,498,445",11062,Silent
South America,Chile,2009,male,25-34 years,362,1273220,28.43,Chile2009,,"172,389,498,445",11062,Generation X
South America,Chile,2009,male,55-74 years,316,1116278,28.31,Chile2009,,"172,389,498,445",11062,Silent
South America,Chile,2009,male,35-54 years,613,2304506,26.6,Chile2009,,"172,389,498,445",11062,Boomers
South America,Chile,2009,male,15-24 years,330,1440637,22.91,Chile2009,,"172,389,498,445",11062,Millenials
South America,Chile,2009,female,15-24 years,102,1390368,7.34,Chile2009,,"172,389,498,445",11062,Millenials
South America,Chile,2009,female,25-34 years,85,1244249,6.83,Chile2009,,"172,389,498,445",11062,Generation X
South America,Chile,2009,female,35-54 years,155,2325328,6.67,Chile2009,,"172,389,498,445",11062,Boomers
South America,Chile,2009,female,55-74 years,59,1260914,4.68,Chile2009,,"172,389,498,445",11062,Silent
South America,Chile,2009,female,75+ years,12,391659,3.06,Chile2009,,"172,389,498,445",11062,Silent
South America,Chile,2009,male,5-14 years,15,1324547,1.13,Chile2009,,"172,389,498,445",11062,Generation Z
South America,Chile,2009,female,5-14 years,11,1277663,0.86,Chile2009,,"172,389,498,445",11062,Generation Z
South America,Colombia,2009,male,75+ years,72,405866,17.74,Colombia2009,,"233,821,670,544",5643,Silent
South America,Colombia,2009,male,25-34 years,426,3715402,11.47,Colombia2009,,"233,821,670,544",5643,Generation X
South America,Colombia,2009,male,55-74 years,252,2226378,11.32,Colombia2009,,"233,821,670,544",5643,Silent
South America,Colombia,2009,male,15-24 years,481,4272494,11.26,Colombia2009,,"233,821,670,544",5643,Millenials
South America,Colombia,2009,male,35-54 years,517,5552239,9.31,Colombia2009,,"233,821,670,544",5643,Boomers
South America,Colombia,2009,female,15-24 years,207,4157810,4.98,Colombia2009,,"233,821,670,544",5643,Millenials
South America,Colombia,2009,female,25-34 years,72,3780652,1.9,Colombia2009,,"233,821,670,544",5643,Generation X
South America,Colombia,2009,female,55-74 years,46,2574750,1.79,Colombia2009,,"233,821,670,544",5643,Silent
South America,Colombia,2009,female,35-54 years,87,5952480,1.46,Colombia2009,,"233,821,670,544",5643,Boomers
South America,Colombia,2009,male,5-14 years,54,4196033,1.29,Colombia2009,,"233,821,670,544",5643,Generation Z
South America,Colombia,2009,female,5-14 years,32,4027989,0.79,Colombia2009,,"233,821,670,544",5643,Generation Z
South America,Colombia,2009,female,75+ years,3,574080,0.52,Colombia2009,,"233,821,670,544",5643,Silent
North America,Costa Rica,2009,male,25-34 years,60,362045,16.57,Costa Rica2009,,"30,562,361,123",7403,Generation X
North America,Costa Rica,2009,male,35-54 years,86,571583,15.05,Costa Rica2009,,"30,562,361,123",7403,Boomers
North America,Costa Rica,2009,male,15-24 years,51,418996,12.17,Costa Rica2009,,"30,562,361,123",7403,Millenials
North America,Costa Rica,2009,male,55-74 years,32,264036,12.12,Costa Rica2009,,"30,562,361,123",7403,Silent
North America,Costa Rica,2009,male,75+ years,6,55391,10.83,Costa Rica2009,,"30,562,361,123",7403,Silent
North America,Costa Rica,2009,female,25-34 years,10,355653,2.81,Costa Rica2009,,"30,562,361,123",7403,Generation X
North America,Costa Rica,2009,female,15-24 years,11,403629,2.73,Costa Rica2009,,"30,562,361,123",7403,Millenials
North America,Costa Rica,2009,female,35-54 years,13,582223,2.23,Costa Rica2009,,"30,562,361,123",7403,Boomers
North America,Costa Rica,2009,female,55-74 years,5,275859,1.81,Costa Rica2009,,"30,562,361,123",7403,Silent
North America,Costa Rica,2009,female,5-14 years,3,375428,0.8,Costa Rica2009,,"30,562,361,123",7403,Generation Z
North America,Costa Rica,2009,male,5-14 years,1,392594,0.25,Costa Rica2009,,"30,562,361,123",7403,Generation Z
North America,Costa Rica,2009,female,75+ years,0,71022,0.0,Costa Rica2009,,"30,562,361,123",7403,Silent
Europe,Croatia,2009,male,75+ years,107,110100,97.18,Croatia2009,,"62,703,143,057",14872,Silent
Europe,Croatia,2009,male,55-74 years,199,455148,43.72,Croatia2009,,"62,703,143,057",14872,Silent
Europe,Croatia,2009,male,35-54 years,220,628629,35.0,Croatia2009,,"62,703,143,057",14872,Boomers
Europe,Croatia,2009,female,75+ years,53,216621,24.47,Croatia2009,,"62,703,143,057",14872,Silent
Europe,Croatia,2009,male,15-24 years,45,278610,16.15,Croatia2009,,"62,703,143,057",14872,Millenials
Europe,Croatia,2009,male,25-34 years,44,316164,13.92,Croatia2009,,"62,703,143,057",14872,Generation X
Europe,Croatia,2009,female,55-74 years,63,537865,11.71,Croatia2009,,"62,703,143,057",14872,Silent
Europe,Croatia,2009,female,35-54 years,45,634366,7.09,Croatia2009,,"62,703,143,057",14872,Boomers
Europe,Croatia,2009,female,25-34 years,7,306319,2.29,Croatia2009,,"62,703,143,057",14872,Generation X
Europe,Croatia,2009,female,15-24 years,4,267054,1.5,Croatia2009,,"62,703,143,057",14872,Millenials
Europe,Croatia,2009,male,5-14 years,3,238176,1.26,Croatia2009,,"62,703,143,057",14872,Generation Z
Europe,Croatia,2009,female,5-14 years,0,226998,0.0,Croatia2009,,"62,703,143,057",14872,Generation Z
North America,Cuba,2009,male,75+ years,210,255440,82.21,Cuba2009,,"62,080,000,000",5797,Silent
North America,Cuba,2009,male,55-74 years,318,950445,33.46,Cuba2009,,"62,080,000,000",5797,Silent
North America,Cuba,2009,male,35-54 years,428,1884290,22.71,Cuba2009,,"62,080,000,000",5797,Boomers
North America,Cuba,2009,male,25-34 years,122,726718,16.79,Cuba2009,,"62,080,000,000",5797,Generation X
North America,Cuba,2009,female,75+ years,44,329543,13.35,Cuba2009,,"62,080,000,000",5797,Silent
North America,Cuba,2009,female,55-74 years,131,982121,13.34,Cuba2009,,"62,080,000,000",5797,Silent
North America,Cuba,2009,male,15-24 years,62,822661,7.54,Cuba2009,,"62,080,000,000",5797,Millenials
North America,Cuba,2009,female,35-54 years,123,1877452,6.55,Cuba2009,,"62,080,000,000",5797,Boomers
North America,Cuba,2009,female,25-34 years,23,705886,3.26,Cuba2009,,"62,080,000,000",5797,Generation X
North America,Cuba,2009,female,15-24 years,12,779355,1.54,Cuba2009,,"62,080,000,000",5797,Millenials
North America,Cuba,2009,female,5-14 years,3,675592,0.44,Cuba2009,,"62,080,000,000",5797,Generation Z
North America,Cuba,2009,male,5-14 years,1,718727,0.14,Cuba2009,,"62,080,000,000",5797,Generation Z
Europe,Cyprus,2009,male,75+ years,3,19014,15.78,Cyprus2009,,"25,942,622,951",33816,Silent
Europe,Cyprus,2009,male,25-34 years,6,61663,9.73,Cyprus2009,,"25,942,622,951",33816,Generation X
Europe,Cyprus,2009,male,15-24 years,5,66107,7.56,Cyprus2009,,"25,942,622,951",33816,Millenials
