continent,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Europe,Albania,2006,male,15-24 years,0,286679,0.0,Albania2006,,"8,992,642,349",3235,Millenials
Europe,Albania,2006,male,25-34 years,0,174092,0.0,Albania2006,,"8,992,642,349",3235,Generation X
Europe,Albania,2006,male,35-54 years,0,379076,0.0,Albania2006,,"8,992,642,349",3235,Boomers
Europe,Albania,2006,male,5-14 years,0,282678,0.0,Albania2006,,"8,992,642,349",3235,Millenials
Europe,Albania,2006,male,55-74 years,0,219360,0.0,Albania2006,,"8,992,642,349",3235,Silent
Europe,Albania,2006,male,75+ years,0,40782,0.0,Albania2006,,"8,992,642,349",3235,Silent
Europe,Albania,2007,male,75+ years,8,42366,18.88,Albania2007,,"10,701,011,897",3863,Silent
Europe,Albania,2007,male,35-54 years,29,378626,7.66,Albania2007,,"10,701,011,897",3863,Boomers
Europe,Albania,2007,male,55-74 years,14,224160,6.25,Albania2007,,"10,701,011,897",3863,Silent
Europe,Albania,2007,female,75+ years,3,57404,5.23,Albania2007,,"10,701,011,897",3863,Silent
Europe,Albania,2007,male,25-34 years,9,172494,5.22,Albania2007,,"10,701,011,897",3863,Generation X
Europe,Albania,2007,female,15-24 years,13,281080,4.63,Albania2007,,"10,701,011,897",3863,Millenials
Europe,Albania,2007,male,15-24 years,13,288349,4.51,Albania2007,,"10,701,011,897",3863,Millenials
Europe,Albania,2007,female,25-34 years,8,183629,4.36,Albania2007,,"10,701,011,897",3863,Generation X
Europe,Albania,2007,female,55-74 years,9,221120,4.07,Albania2007,,"10,701,011,897",3863,Silent
Europe,Albania,2007,female,35-54 years,14,391811,3.57,Albania2007,,"10,701,011,897",3863,Boomers
Europe,Albania,2007,male,5-14 years,4,272497,1.47,Albania2007,,"10,701,011,897",3863,Generation Z
Europe,Albania,2007,female,5-14 years,0,256808,0.0,Albania2007,,"10,701,011,897",3863,Generation Z
Europe,Albania,2008,male,25-34 years,21,172855,12.15,Albania2008,,"12,881,352,688",4672,Generation X
Europe,Albania,2008,male,35-54 years,37,377119,9.81,Albania2008,,"12,881,352,688",4672,Boomers
Europe,Albania,2008,male,55-74 years,21,228672,9.18,Albania2008,,"12,881,352,688",4672,Silent
Europe,Albania,2008,female,75+ years,5,59369,8.42,Albania2008,,"12,881,352,688",4672,Silent
Europe,Albania,2008,female,15-24 years,20,276073,7.24,Albania2008,,"12,881,352,688",4672,Millenials
Europe,Albania,2008,female,25-34 years,9,182663,4.93,Albania2008,,"12,881,352,688",4672,Generation X
Europe,Albania,2008,female,35-54 years,19,393832,4.82,Albania2008,,"12,881,352,688",4672,Boomers
Europe,Albania,2008,male,75+ years,2,44574,4.49,Albania2008,,"12,881,352,688",4672,Silent
Europe,Albania,2008,male,15-24 years,11,286702,3.84,Albania2008,,"12,881,352,688",4672,Millenials
Europe,Albania,2008,female,55-74 years,7,226448,3.09,Albania2008,,"12,881,352,688",4672,Silent
Europe,Albania,2008,male,5-14 years,7,262464,2.67,Albania2008,,"12,881,352,688",4672,Generation Z
Europe,Albania,2008,female,5-14 years,1,246288,0.41,Albania2008,,"12,881,352,688",4672,Generation Z
Europe,Albania,2009,female,15-24 years,0,270003,0.0,Albania2009,,"12,044,212,904",4387,Millenials
Europe,Albania,2009,female,25-34 years,0,182712,0.0,Albania2009,,"12,044,212,904",4387,Generation X
Europe,Albania,2009,female,35-54 years,0,394286,0.0,Albania2009,,"12,044,212,904",4387,Boomers
Europe,Albania,2009,female,5-14 years,0,236174,0.0,Albania2009,,"12,044,212,904",4387,Generation Z
Europe,Albania,2009,female,55-74 years,0,233302,0.0,Albania2009,,"12,044,212,904",4387,Silent
Europe,Albania,2009,female,75+ years,0,61582,0.0,Albania2009,,"12,044,212,904",4387,Silent
Europe,Albania,2009,male,15-24 years,0,283448,0.0,Albania2009,,"12,044,212,904",4387,Millenials
Europe,Albania,2009,male,25-34 years,0,174955,0.0,Albania2009,,"12,044,212,904",4387,Generation X
Europe,Albania,2009,male,35-54 years,0,374365,0.0,Albania2009,,"12,044,212,904",4387,Boomers
Europe,Albania,2009,male,5-14 years,0,253007,0.0,Albania2009,,"12,044,212,904",4387,Generation Z
Europe,Albania,2009,male,55-74 years,0,234570,0.0,Albania2009,,"12,044,212,904",4387,Silent
Europe,Albania,2009,male,75+ years,0,47331,0.0,Albania2009,,"12,044,212,904",4387,Silent
Europe,Albania,2010,male,55-74 years,20,241852,8.27,Albania2010,0.722,"11,926,953,259",4359,Silent
Europe,Albania,2010,male,35-54 years,20,371611,5.38,Albania2010,0.722,"11,926,953,259",4359,Generation X
Europe,Albania,2010,male,25-34 years,9,179720,5.01,Albania2010,0.722,"11,926,953,259",4359,Generation X
Europe,Albania,2010,male,75+ years,2,50767,3.94,Albania2010,0.722,"11,926,953,259",4359,Silent
Europe,Albania,2010,male,15-24 years,10,279508,3.58,Albania2010,0.722,"11,926,953,259",4359,Millenials
Europe,Albania,2010,female,25-34 years,6,183579,3.27,Albania2010,0.722,"11,926,953,259",4359,Generation X
Europe,Albania,2010,female,75+ years,2,64415,3.1,Albania2010,0.722,"11,926,953,259",4359,Silent
Europe,Albania,2010,female,35-54 years,12,394593,3.04,Albania2010,0.722,"11,926,953,259",4359,Generation X
Europe,Albania,2010,female,55-74 years,7,241491,2.9,Albania2010,0.722,"11,926,953,259",4359,Silent
Europe,Albania,2010,female,15-24 years,6,263581,2.28,Albania2010,0.722,"11,926,953,259",4359,Millenials
Europe,Albania,2010,female,5-14 years,2,223969,0.89,Albania2010,0.722,"11,926,953,259",4359,Generation Z
Europe,Albania,2010,male,5-14 years,0,240939,0.0,Albania2010,0.722,"11,926,953,259",4359,Generation Z
North America,Antigua and Barbuda,2000,male,55-74 years,1,3333,30.0,Antigua and Barbuda2000,,"830,158,778",11021,Silent
North America,Antigua and Barbuda,2000,male,35-54 years,1,10033,9.97,Antigua and Barbuda2000,,"830,158,778",11021,Boomers
North America,Antigua and Barbuda,2000,female,15-24 years,0,6616,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Generation X
North America,Antigua and Barbuda,2000,female,25-34 years,0,8595,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Generation X
North America,Antigua and Barbuda,2000,female,35-54 years,0,11040,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Boomers
North America,Antigua and Barbuda,2000,female,5-14 years,0,8439,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Millenials
North America,Antigua and Barbuda,2000,female,55-74 years,0,3986,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Silent
North America,Antigua and Barbuda,2000,female,75+ years,0,1413,0.0,Antigua and Barbuda2000,,"830,158,778",11021,G.I. Generation
North America,Antigua and Barbuda,2000,male,15-24 years,0,5783,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Generation X
North America,Antigua and Barbuda,2000,male,25-34 years,0,7177,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Generation X
North America,Antigua and Barbuda,2000,male,5-14 years,0,7973,0.0,Antigua and Barbuda2000,,"830,158,778",11021,Millenials
North America,Antigua and Barbuda,2000,male,75+ years,0,938,0.0,Antigua and Barbuda2000,,"830,158,778",11021,G.I. Generation
North America,Antigua and Barbuda,2001,male,35-54 years,2,10281,19.45,Antigua and Barbuda2001,,"800,740,259",10468,Boomers
North America,Antigua and Barbuda,2001,female,15-24 years,0,6902,0.0,Antigua and Barbuda2001,,"800,740,259",10468,Millenials
North America,Antigua and Barbuda,2001,female,25-34 years,0,8425,0.0,Antigua and Barbuda2001,,"800,740,259",10468,Generation X
North America,Antigua and Barbuda,2001,female,35-54 years,0,11402,0.0,Antigua and Barbuda2001,,"800,740,259",10468,Boomers
North America,Antigua and Barbuda,2001,female,5-14 years,0,8428,0.0,Antigua and Barbuda2001,,"800,740,259",10468,Millenials
North America,Antigua and Barbuda,2001,female,55-74 years,0,4037,0.0,Antigua and Barbuda2001,,"800,740,259",10468,Silent
North America,Antigua and Barbuda,2001,female,75+ years,0,1487,0.0,Antigua and Barbuda2001,,"800,740,259",10468,Silent
North America,Antigua and Barbuda,2001,male,15-24 years,0,6084,0.0,Antigua and Barbuda2001,,"800,740,259",10468,Millenials
North America,Antigua and Barbuda,2001,male,25-34 years,0,7071,0.0,Antigua and Barbuda2001,,"800,740,259",10468,Generation X
North America,Antigua and Barbuda,2001,male,5-14 years,0,7958,0.0,Antigua and Barbuda2001,,"800,740,259",10468,Millenials
North America,Antigua and Barbuda,2001,male,55-74 years,0,3442,0.0,Antigua and Barbuda2001,,"800,740,259",10468,Silent
North America,Antigua and Barbuda,2001,male,75+ years,0,980,0.0,Antigua and Barbuda2001,,"800,740,259",10468,Silent
North America,Antigua and Barbuda,2002,female,15-24 years,0,7196,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Millenials
North America,Antigua and Barbuda,2002,female,25-34 years,0,8155,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Generation X
North America,Antigua and Barbuda,2002,female,35-54 years,0,11760,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Boomers
North America,Antigua and Barbuda,2002,female,5-14 years,0,8408,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Millenials
North America,Antigua and Barbuda,2002,female,55-74 years,0,4050,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Silent
North America,Antigua and Barbuda,2002,female,75+ years,0,1547,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Silent
North America,Antigua and Barbuda,2002,male,15-24 years,0,6416,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Millenials
North America,Antigua and Barbuda,2002,male,25-34 years,0,6921,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Generation X
North America,Antigua and Barbuda,2002,male,35-54 years,0,10604,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Boomers
North America,Antigua and Barbuda,2002,male,5-14 years,0,7980,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Millenials
North America,Antigua and Barbuda,2002,male,55-74 years,0,3527,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Silent
North America,Antigua and Barbuda,2002,male,75+ years,0,1024,0.0,Antigua and Barbuda2002,,"814,615,333",10499,Silent
North America,Antigua and Barbuda,2003,male,55-74 years,1,3594,27.82,Antigua and Barbuda2003,,"855,643,111",10878,Silent
North America,Antigua and Barbuda,2003,female,15-24 years,0,7454,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Millenials
North America,Antigua and Barbuda,2003,female,25-34 years,0,7831,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Generation X
North America,Antigua and Barbuda,2003,female,35-54 years,0,12129,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Boomers
North America,Antigua and Barbuda,2003,female,5-14 years,0,8423,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Millenials
North America,Antigua and Barbuda,2003,female,55-74 years,0,4054,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Silent
North America,Antigua and Barbuda,2003,female,75+ years,0,1583,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Silent
North America,Antigua and Barbuda,2003,male,15-24 years,0,6730,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Millenials
North America,Antigua and Barbuda,2003,male,25-34 years,0,6734,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Generation X
North America,Antigua and Barbuda,2003,male,35-54 years,0,10997,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Boomers
North America,Antigua and Barbuda,2003,male,5-14 years,0,8061,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Millenials
North America,Antigua and Barbuda,2003,male,75+ years,0,1068,0.0,Antigua and Barbuda2003,,"855,643,111",10878,Silent
North America,Antigua and Barbuda,2004,male,55-74 years,1,3665,27.29,Antigua and Barbuda2004,,"919,577,148",11535,Silent
North America,Antigua and Barbuda,2004,male,35-54 years,1,11406,8.77,Antigua and Barbuda2004,,"919,577,148",11535,Boomers
North America,Antigua and Barbuda,2004,female,15-24 years,0,7648,0.0,Antigua and Barbuda2004,,"919,577,148",11535,Millenials
North America,Antigua and Barbuda,2004,female,25-34 years,0,7531,0.0,Antigua and Barbuda2004,,"919,577,148",11535,Generation X
North America,Antigua and Barbuda,2004,female,35-54 years,0,12492,0.0,Antigua and Barbuda2004,,"919,577,148",11535,Boomers
North America,Antigua and Barbuda,2004,female,5-14 years,0,8488,0.0,Antigua and Barbuda2004,,"919,577,148",11535,Millenials
North America,Antigua and Barbuda,2004,female,55-74 years,0,4088,0.0,Antigua and Barbuda2004,,"919,577,148",11535,Silent
North America,Antigua and Barbuda,2004,female,75+ years,0,1590,0.0,Antigua and Barbuda2004,,"919,577,148",11535,Silent
North America,Antigua and Barbuda,2004,male,15-24 years,0,6968,0.0,Antigua and Barbuda2004,,"919,577,148",11535,Millenials
North America,Antigua and Barbuda,2004,male,25-34 years,0,6556,0.0,Antigua and Barbuda2004,,"919,577,148",11535,Generation X
North America,Antigua and Barbuda,2004,male,5-14 years,0,8196,0.0,Antigua and Barbuda2004,,"919,577,148",11535,Millenials
North America,Antigua and Barbuda,2004,male,75+ years,0,1094,0.0,Antigua and Barbuda2004,,"919,577,148",11535,Silent
North America,Antigua and Barbuda,2005,female,15-24 years,0,7780,0.0,Antigua and Barbuda2005,,"1,022,191,296",12649,Millenials
North America,Antigua and Barbuda,2005,female,25-34 years,0,7327,0.0,Antigua and Barbuda2005,,"1,022,191,296",12649,Generation X
North America,Antigua and Barbuda,2005,female,35-54 years,0,12835,0.0,Antigua and Barbuda2005,,"1,022,191,296",12649,Boomers
North America,Antigua and Barbuda,2005,female,5-14 years,0,8584,0.0,Antigua and Barbuda2005,,"1,022,191,296",12649,Millenials
North America,Antigua and Barbuda,2005,female,55-74 years,0,4157,0.0,Antigua and Barbuda2005,,"1,022,191,296",12649,Silent
North America,Antigua and Barbuda,2005,female,75+ years,0,1575,0.0,Antigua and Barbuda2005,,"1,022,191,296",12649,Silent
North America,Antigua and Barbuda,2005,male,15-24 years,0,7113,0.0,Antigua and Barbuda2005,,"1,022,191,296",12649,Millenials
North America,Antigua and Barbuda,2005,male,25-34 years,0,6444,0.0,Antigua and Barbuda2005,,"1,022,191,296",12649,Generation X
North America,Antigua and Barbuda,2005,male,35-54 years,0,11778,0.0,Antigua and Barbuda2005,,"1,022,191,296",12649,Boomers
North America,Antigua and Barbuda,2005,male,5-14 years,0,8358,0.0,Antigua and Barbuda2005,,"1,022,191,296",12649,Millenials
North America,Antigua and Barbuda,2005,male,55-74 years,0,3748,0.0,Antigua and Barbuda2005,,"1,022,191,296",12649,Silent
North America,Antigua and Barbuda,2005,male,75+ years,0,1110,0.0,Antigua and Barbuda2005,,"1,022,191,296",12649,Silent
North America,Antigua and Barbuda,2006,female,15-24 years,0,7902,0.0,Antigua and Barbuda2006,,"1,157,005,444",14114,Millenials
North America,Antigua and Barbuda,2006,female,25-34 years,0,7098,0.0,Antigua and Barbuda2006,,"1,157,005,444",14114,Generation X
North America,Antigua and Barbuda,2006,female,35-54 years,0,13374,0.0,Antigua and Barbuda2006,,"1,157,005,444",14114,Boomers
North America,Antigua and Barbuda,2006,female,5-14 years,0,8571,0.0,Antigua and Barbuda2006,,"1,157,005,444",14114,Millenials
North America,Antigua and Barbuda,2006,female,55-74 years,0,4256,0.0,Antigua and Barbuda2006,,"1,157,005,444",14114,Silent
North America,Antigua and Barbuda,2006,female,75+ years,0,1573,0.0,Antigua and Barbuda2006,,"1,157,005,444",14114,Silent
North America,Antigua and Barbuda,2006,male,15-24 years,0,7239,0.0,Antigua and Barbuda2006,,"1,157,005,444",14114,Millenials
North America,Antigua and Barbuda,2006,male,25-34 years,0,6319,0.0,Antigua and Barbuda2006,,"1,157,005,444",14114,Generation X
North America,Antigua and Barbuda,2006,male,35-54 years,0,12202,0.0,Antigua and Barbuda2006,,"1,157,005,444",14114,Boomers
North America,Antigua and Barbuda,2006,male,5-14 years,0,8485,0.0,Antigua and Barbuda2006,,"1,157,005,444",14114,Millenials
North America,Antigua and Barbuda,2006,male,55-74 years,0,3847,0.0,Antigua and Barbuda2006,,"1,157,005,444",14114,Silent
North America,Antigua and Barbuda,2006,male,75+ years,0,1107,0.0,Antigua and Barbuda2006,,"1,157,005,444",14114,Silent
North America,Antigua and Barbuda,2007,male,35-54 years,1,12530,7.98,Antigua and Barbuda2007,,"1,311,401,333",15775,Boomers
North America,Antigua and Barbuda,2007,female,15-24 years,0,8013,0.0,Antigua and Barbuda2007,,"1,311,401,333",15775,Millenials
North America,Antigua and Barbuda,2007,female,25-34 years,0,6962,0.0,Antigua and Barbuda2007,,"1,311,401,333",15775,Generation X
North America,Antigua and Barbuda,2007,female,35-54 years,0,13860,0.0,Antigua and Barbuda2007,,"1,311,401,333",15775,Boomers
North America,Antigua and Barbuda,2007,female,5-14 years,0,8555,0.0,Antigua and Barbuda2007,,"1,311,401,333",15775,Generation Z
North America,Antigua and Barbuda,2007,female,55-74 years,0,4400,0.0,Antigua and Barbuda2007,,"1,311,401,333",15775,Silent
North America,Antigua and Barbuda,2007,female,75+ years,0,1568,0.0,Antigua and Barbuda2007,,"1,311,401,333",15775,Silent
North America,Antigua and Barbuda,2007,male,15-24 years,0,7330,0.0,Antigua and Barbuda2007,,"1,311,401,333",15775,Millenials
North America,Antigua and Barbuda,2007,male,25-34 years,0,6267,0.0,Antigua and Barbuda2007,,"1,311,401,333",15775,Generation X
North America,Antigua and Barbuda,2007,male,5-14 years,0,8564,0.0,Antigua and Barbuda2007,,"1,311,401,333",15775,Generation Z
North America,Antigua and Barbuda,2007,male,55-74 years,0,3988,0.0,Antigua and Barbuda2007,,"1,311,401,333",15775,Silent
North America,Antigua and Barbuda,2007,male,75+ years,0,1094,0.0,Antigua and Barbuda2007,,"1,311,401,333",15775,Silent
North America,Antigua and Barbuda,2008,female,15-24 years,0,8108,0.0,Antigua and Barbuda2008,,"1,368,431,037",16238,Millenials
North America,Antigua and Barbuda,2008,female,25-34 years,0,6910,0.0,Antigua and Barbuda2008,,"1,368,431,037",16238,Generation X
North America,Antigua and Barbuda,2008,female,35-54 years,0,14278,0.0,Antigua and Barbuda2008,,"1,368,431,037",16238,Boomers
North America,Antigua and Barbuda,2008,female,5-14 years,0,8537,0.0,Antigua and Barbuda2008,,"1,368,431,037",16238,Generation Z
North America,Antigua and Barbuda,2008,female,55-74 years,0,4587,0.0,Antigua and Barbuda2008,,"1,368,431,037",16238,Silent
North America,Antigua and Barbuda,2008,female,75+ years,0,1567,0.0,Antigua and Barbuda2008,,"1,368,431,037",16238,Silent
North America,Antigua and Barbuda,2008,male,15-24 years,0,7404,0.0,Antigua and Barbuda2008,,"1,368,431,037",16238,Millenials
North America,Antigua and Barbuda,2008,male,25-34 years,0,6274,0.0,Antigua and Barbuda2008,,"1,368,431,037",16238,Generation X
North America,Antigua and Barbuda,2008,male,35-54 years,0,12782,0.0,Antigua and Barbuda2008,,"1,368,431,037",16238,Boomers
North America,Antigua and Barbuda,2008,male,5-14 years,0,8599,0.0,Antigua and Barbuda2008,,"1,368,431,037",16238,Generation Z
North America,Antigua and Barbuda,2008,male,55-74 years,0,4158,0.0,Antigua and Barbuda2008,,"1,368,431,037",16238,Silent
North America,Antigua and Barbuda,2008,male,75+ years,0,1069,0.0,Antigua and Barbuda2008,,"1,368,431,037",16238,Silent
